sku_id,avg_actual_demand,avg_predicted_demand,demand_std,current_stock,selling_price,supplier_id,lead_time_days,avg_lead_time,lead_time_variability,safety_stock,reorder_point,inventory_status,annual_consumptino_value,annual_consumption_value,cumulative_value,cumulative_percentage,ABC_Class,cv,XYZ_Class,ABC_XYZ,calculated_safety_stock,calculated_reorder_point,holding_cost,annual_demand,EOQ,days_of_inventory,inventory_gap,risk_score,risk_level,recommendation
38,34.04347826086956,34.13396112040134,7.1321266684014475,1055,1831.211806020067,1,11.0,11.0,4.0,308,727,Overstock,22814877.09531674,22814877.09531674,22814877.09531674,6.107329381052418,A,0.2095005279351638,X,AX,39.03007039201892,414.5036427164336,366.2423612040134,12458.895808946489,184.44015958881891,30.907634665624638,640.4963572835663,28.52850667360579,High,Reduce Inventory
29,31.264214046822744,31.293950866220737,7.871903799624349,494,1702.4196989966556,5,5.0,5.0,2.0,128,304,Overstock,19445535.021141987,19445535.021141987,42260412.11645873,11.31271737717195,A,0.2517863966717672,Y,AY,29.04348481369323,185.5132391447969,340.48393979933115,11422.292066170568,183.15902145564203,15.785798415540834,308.4867608552031,15.743807599248697,Medium,Reduce Inventory
24,23.277591973244142,23.43094221070234,5.488841599227644,776,2119.237224080268,2,10.0,10.0,2.0,322,593,Overstock,18124339.59879081,18124339.59879081,60384751.71524954,16.164433706013746,A,0.2357993733001531,X,AX,28.63944792957676,262.94887003660017,423.8474448160536,8552.293906906354,142.0484581271759,33.11859988479479,513.0511299633998,10.977683198455289,Low,Reduce Inventory
39,29.729096989966557,30.079778464882946,5.73727271228457,438,1638.9726421404682,7,5.0,5.0,4.0,173,341,Overstock,17994475.904740043,17994475.904740043,78379227.61998957,20.981386737604595,A,0.1929850985457404,X,AX,21.16773745370277,171.5666297781175,327.79452842809366,10979.119139682276,183.0134040240329,14.561277454597917,266.4333702218825,22.94909084913828,Medium,Reduce Inventory
12,37.51839464882943,37.57050133444816,6.278398256125646,710,1206.8583946488293,8,7.0,7.0,4.0,352,641,Overstock,16549930.348224988,16549930.348224988,94929157.96821456,25.411648423775745,A,0.1673418682993018,X,AX,27.40828268892461,290.4017920300617,241.37167892976586,13713.232987073578,238.35637488480617,18.897804787848422,419.5982079699383,25.113593024502585,High,Reduce Inventory
26,27.42809364548495,27.507712715719062,5.607163447242019,164,1620.7158193979933,3,3.0,3.0,4.0,56,148,Optimal,16272497.581144745,16272497.581144745,111201655.5493593,29.76764395095875,A,0.2044313950402833,X,AX,16.024621761994275,98.54775990915147,324.14316387959866,10040.315141237457,175.99698938763413,5.961964256893068,65.45224009084853,22.428653788968077,Medium,Maintain Current Stock
5,28.08026755852843,28.150327123745814,6.360552078787201,496,1545.2014046822742,8,7.0,7.0,4.0,277,497,Overstock,15876742.630065309,15876742.630065309,127078398.1794246,34.01769957628182,A,0.2265132291040225,X,AX,27.766924352550642,224.81921421877132,309.04028093645485,10274.869400167223,182.339437307548,17.6196886742963,271.1807857812287,25.442208315148804,High,Reduce Inventory
22,30.51170568561873,30.504149678929767,7.364140629774921,252,1176.4878595317723,0,3.0,3.0,2.0,125,227,Optimal,13099033.043349322,13099033.043349322,140177431.22277394,37.524188304439186,A,0.2413546035627207,X,AX,21.045858446006513,112.55830748279581,235.29757190635448,11134.014632809365,217.52900385920572,8.261171107944858,139.4416925172042,14.728281259549842,Medium,Maintain Current Stock
37,35.63879598662207,35.48027673913044,7.479499939892798,536,994.8179933110368,9,5.0,5.0,4.0,250,448,Overstock,12883192.46332583,12883192.46332583,153060623.68609977,40.9728985264712,A,0.2098696022924124,X,AX,27.595706000454715,204.9970896961069,198.96359866220737,12950.30100978261,255.1250587911918,15.106984760602419,331.0029103038931,29.91799975957119,High,Reduce Inventory
14,26.892976588628763,27.03411291638796,6.728825912235224,555,1195.82508361204,6,6.0,6.0,4.0,180,365,Overstock,11799745.673595192,11799745.673595192,164860369.35969496,44.13158016828845,A,0.2502075547516891,Y,AY,27.195613587439837,189.4002910857676,239.16501672240804,9867.451214481605,203.12045777543133,20.52961758784256,365.5997089142324,26.915303648940895,High,Reduce Inventory
9,30.66555183946488,30.737993515050167,5.962003622478883,237,1029.7798662207358,0,3.0,3.0,2.0,94,197,Optimal,11553478.900185106,11553478.900185106,176413848.25988007,47.224338496360005,A,0.1944202293730162,X,AX,17.038713761921148,109.25269430707165,205.95597324414717,11219.367632993311,233.39792651136642,7.710327607557022,127.74730569292835,11.924007244957766,Low,Maintain Current Stock
